Rk,Lineup,Lineup_2,Lineup_3,Lineup_4,Lineup_5,Tm,Season,G,MP,TM,OPP,Pace,FG,FGA,FG%,3P,3PA,3P%,EFG%,FT,FTA,FT%,PTS%
6788,T. Chandler,M. Ellis,D. Nowitzki,C. Parsons,C. Villanueva,DAL,2014-15,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6789,A. Bradley,P. Pressey,T. Prince,J. Sullinger,E. Turner,BOS,2014-15,1,0.9,2,1,77.1,0,1,0,0,0,0,0,0,0,0,0
6790,R. Anderson,D. Cunningham,T. Evans,J. Fredette,E. Gordon,NOP,2014-15,1,0.5,1,0,53.3,0,1,0,0,0,0,0,0,0,0,0
6791,K. Faried,R. Foye,D. Gallinari,J. Nelson,J. Nurkic,DEN,2014-15,2,3.8,6,5,68.9,-1,3,-0.35,1,1,0.5,-0.288,1,3,0.25,0
6792,S. Ibaka,K. Perkins,A. Roberson,D. Waiters,R. Westbrook,OKC,2014-15,3,3.4,8,6,99.8,-1,-1,-0.2,0,-2,-0.2,-0.2,2,2,0,0
6793,M. Bonner,T. Duncan,M. Ginóbili,C. Joseph,T. Parker,SAS,2014-15,1,2.1,4,4,91.4,0,-1,0.167,0,-1,0.167,0.167,0,0,0,0
6794,P. Hairston,A. Jefferson,J. Maxiell,G. Neal,L. Stephenson,CHO,2014-15,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6795,G. Henderson,A. Jefferson,M. Kidd-Gilchrist,B. Roberts,N. Vonleh,CHO,2014-15,1,2,3,4,86.2,1,0,0.333,0,-1,0.333,0.333,-2,-2,0,0
6796,D. DeRozan,C. Hayes,A. Johnson,K. Lowry,L. Williams,TOR,2014-15,1,0.5,1,1,106.7,0,0,0,0,-1,0,0,0,0,0,0
6797,L. Amundson,J. Calderón,L. Galloway,T. Hardaway,J. Smith,NYK,2014-15,3,29.9,59,60,95.6,3,4,0.019,0,3,-0.111,0.018,-6,-6,-0.083,0
6798,C. Early,L. Galloway,T. Hardaway,J. Smith,L. Thomas,NYK,2014-15,2,1.8,5,5,133.3,-1,-3,-0.167,0,-2,0,-0.167,2,2,0,0
6799,C. Boozer,J. Clarkson,J. Hill,R. Kelly,J. Lin,LAL,2014-15,4,5.9,10,11,84.9,0,-3,0.205,1,-1,0.667,0.284,-1,0,-0.25,0
6800,J. Adams,N. Calathes,K. Koufos,J. Leuer,T. Thomas,MEM,2014-15,1,5.1,11,11,103.5,0,0,0,0,-3,0,0,0,1,-0.25,0
6801,D. Arthur,W. Chandler,A. Gee,T. Lawson,J. Nurkic,DEN,2014-15,1,0.5,1,0,53.3,0,1,0,0,1,0,0,0,0,0,0
6802,R. Foye,D. Gallinari,A. Gee,G. Harris,J. McGee,DEN,2014-15,1,5.1,11,11,103.5,0,0,0,0,3,0,0,0,-1,0.25,0
6803,A. Gee,G. Harris,J. Hickson,J. Nelson,J. Nurkic,DEN,2014-15,1,2.6,6,5,100.3,-1,-1,-0.15,0,2,-0.15,-0.15,2,2,0,0
6804,J. Dudley,J. GutiÃ©rrez,K. Martin,O. Mayo,J. O'Bryant,MIL,2014-15,1,0.4,2,2,221.5,0,0,0,0,0,0,0,0,0,0,0
6805,E. Fournier,W. Green,K. O'Quinn,E. Payton,N. Vucevic,ORL,2014-15,2,1.9,4,3,90,0,1,-0.333,0,0,0,-0.417,0,0,0,0
6806,L. Aldridge,W. Barton,N. Batum,D. Lillard,D. Wright,POR,2014-15,2,4.8,10,9,95.3,-1,1,-0.167,2,2,0.5,-0.056,0,0,0,0
6807,P. Anti?,K. Bazemore,J. Jenkins,P. Millsap,D. Schröder,ATL,2014-15,1,1,2,3,120,0,3,0,0,0,0,0,0,0,0,0
6808,O. Casspi,R. Gay,R. Sessions,N. Stauskas,J. Thompson,SAC,2014-15,2,1.5,2,2,65.5,0,-3,0.3,0,0,0.3,0.3,0,0,0,0
6809,M. Dellavedova,J. Jones,I. Shumpert,J. Smith,T. Thompson,CLE,2014-15,8,12.7,27,25,98.3,0,1,-0.02,4,9,0.089,0.065,-4,-7,0.333,0
6810,A. Aminu,M. Ellis,D. Harris,R. Rondo,G. Smith,DAL,2014-15,1,0.2,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
6811,C. Andersen,C. Bosh,J. Ennis,D. Granger,T. Johnson,MIA,2014-15,1,0.2,1,0,110.8,0,1,0,0,0,0,0,0,0,0,0
6812,D. Cunningham,T. Evans,J. Fredette,E. Gordon,Q. Pondexter,NOP,2014-15,1,0,0,1,720,0,-1,0,0,-1,0,0,0,0,0,0
6813,C. Budinger,Z. LaVine,K. Martin,N. Pekovic,A. Wiggins,MIN,2014-15,1,1,1,1,48,0,0,0,-1,-1,-0.5,-0.5,1,1,0,0
6814,J. Butler,P. Gasol,E. Moore,J. Noah,T. Snell,CHI,2014-15,1,0.3,0,1,75.8,0,-1,0,0,-1,0,0,0,0,0,0
6815,K. Bazemore,E. Brand,J. Jenkins,P. Millsap,D. Schröder,ATL,2014-15,2,2.8,6,4,86.2,-1,2,-0.75,0,0,-0.75,-0.75,2,4,-0.4,0
