"lineup","slugTeam","seasonPM","seasonSecs","l_id","Season_mins"
"Andre Roberson, Kendrick Perkins, Kevin Durant, Russell Westbrook, Serge Ibaka","OKC",20,3402,191,56
"Avery Bradley, Evan Turner, Jae Crowder, Marcus Smart, Tyler Zeller","BOS",20,1600,192,26
"Ben Gordon, Elfrid Payton, Nikola Vucevic, Tobias Harris, Willie Green","ORL",20,688,193,11
"CJ McCollum, Damian Lillard, Meyers Leonard, Nicolas Batum, Robin Lopez","POR",20,2702,194,45
"Clint Capela, Corey Brewer, Josh Smith, Pablo Prigioni, Trevor Ariza","HOU",20,889,195,14
"Cody Zeller, Gary Neal, Gerald Henderson, Kemba Walker, Marvin Williams","CHA",20,475,196,7
"Damian Lillard, LaMarcus Aldridge, Meyers Leonard, Nicolas Batum, Wesley Matthews","POR",20,2916,197,48
"David Lee, Draymond Green, Harrison Barnes, Klay Thompson, Stephen Curry","GSW",20,1559,198,25
"Eric Bledsoe, Goran Dragic, Markieff Morris, Miles Plumlee, P.J. Tucker","PHX",20,9804,199,163
"Aaron Brooks, E'Twaun Moore, Nikola Mirotic, Taj Gibson, Tony Snell","CHI",19,2114,200,35
"Amir Johnson, Kyle Lowry, Lou Williams, Patrick Patterson, Terrence Ross","TOR",19,2507,201,41
"Andre Iguodala, David Lee, Justin Holiday, Marreese Speights, Shaun Livingston","GSW",19,2649,202,44
"Andre Roberson, Anthony Morrow, Reggie Jackson, Serge Ibaka, Steven Adams","OKC",19,1212,203,20
"Anthony Davis, Austin Rivers, Jrue Holiday, Luke Babbitt, Ryan Anderson","NOP",19,1024,204,17
"Anthony Tolliver, Gerald Green, Isaiah Thomas, Markieff Morris, P.J. Tucker","PHX",19,511,205,8
"Bernard James, Dirk Nowitzki, Monta Ellis, Rajon Rondo, Richard Jefferson","DAL",19,1019,206,16
"Bismack Biyombo, Brian Roberts, Kemba Walker, Marvin Williams, Michael Kidd-Gilchrist","CHA",19,264,207,4
"Bismack Biyombo, Gary Neal, Kemba Walker, Marvin Williams, PJ Hairston","CHA",19,1485,208,24
"Brandan Wright, Chandler Parsons, Jameer Nelson, Monta Ellis, Tyson Chandler","DAL",19,2299,209,38
"Brian Roberts, Cody Zeller, Gary Neal, Jason Maxiell, Lance Stephenson","CHA",19,1260,210,21
"CJ Miles, George Hill, Luis Scola, Roy Hibbert, Solomon Hill","IND",19,2310,211,38
"Damian Lillard, Joel Freeland, LaMarcus Aldridge, Nicolas Batum, Wesley Matthews","POR",19,2853,212,47
"DeMar DeRozan, Greivis Vasquez, Jonas Valanciunas, Lou Williams, Patrick Patterson","TOR",19,2877,213,47
"Derrick Rose, Jimmy Butler, Kirk Hinrich, Pau Gasol, Taj Gibson","CHI",19,7944,214,132
"Derrick Rose, Jimmy Butler, Mike Dunleavy, Pau Gasol, Taj Gibson","CHI",19,7570,215,126
"Donatas Motiejunas, James Harden, Joey Dorsey, Patrick Beverley, Trevor Ariza","HOU",19,10458,216,174
"Henry Walker, James Ennis III, Mario Chalmers, Michael Beasley, Tyler Johnson","MIA",19,1853,217,30
"Jimmy Butler, Joakim Noah, Kirk Hinrich, Mike Dunleavy, Taj Gibson","CHI",19,2709,218,45
"Jusuf Nurkic, Kenneth Faried, Randy Foye, Ty Lawson, Wilson Chandler","DEN",19,2102,219,35
"Al Jefferson, Gary Neal, Kemba Walker, Marvin Williams, Michael Kidd-Gilchrist","CHA",18,1886,220,31
"Amar'e Stoudemire, Carmelo Anthony, Iman Shumpert, JR Smith, Tim Hardaway Jr.","NYK",18,831,221,13
"Andre Iguodala, Festus Ezeli, Harrison Barnes, Klay Thompson, Stephen Curry","GSW",18,846,222,14
"Andre Miller, Derrick Williams, Jason Thompson, Nik Stauskas, Omri Casspi","SAC",18,1995,223,33
"Andre Miller, Garrett Temple, Kevin Seraphin, Kris Humphries, Rasual Butler","WAS",18,870,224,14
"Andrew Wiggins, Chase Budinger, Gorgui Dieng, Sean Kilpatrick, Zach LaVine","MIN",18,811,225,13
"Austin Rivers, Blake Griffin, Chris Paul, DeAndre Jordan, Matt Barnes","LAC",18,3852,226,64
"Ben Gordon, Channing Frye, Dewayne Dedmon, Elfrid Payton, Evan Fournier","ORL",18,2137,227,35
"Bismack Biyombo, Brian Roberts, Cody Zeller, Gerald Henderson, Michael Kidd-Gilchrist","CHA",18,2669,228,44
"Blake Griffin, Chris Paul, DeAndre Jordan, JJ Redick, Reggie Bullock","LAC",18,1838,229,30
"Brandan Wright, Devin Harris, Dirk Nowitzki, J.J. Barea, Richard Jefferson","DAL",18,1777,230,29
