"idGame","slugTeam","lineup","lineupStint","initialScoreTeam","initialScoreOpp","finalScoreTeam","finalScoreOpp","initialTime","finalTime","totalScoreTeam","totalScoreOpp","netScoreTeam","totalTime"
"41400103","BKN","Bojan Bogdanovic, Brook Lopez, Deron Williams, Joe Johnson, Thaddeus Young",0,0,0,19,14,0,521,19,14,5,521
"41400103","ATL","DeMarre Carroll, Jeff Teague, Kyle Korver, Paul Millsap, Pero Antic",1,5,16,8,16,395,436,3,0,3,41
"41400103","BKN","Alan Anderson, Bojan Bogdanovic, Brook Lopez, Deron Williams, Thaddeus Young",1,19,14,22,16,521,552,3,2,1,31
"41400103","ATL","DeMarre Carroll, Jeff Teague, Kent Bazemore, Paul Millsap, Pero Antic",2,8,16,14,19,436,521,6,3,3,85
"41400103","BKN","Alan Anderson, Brook Lopez, Deron Williams, Jarrett Jack, Thaddeus Young",2,22,16,31,16,552,720,9,0,9,168
"41400103","ATL","DeMarre Carroll, Dennis Schroder, Kent Bazemore, Paul Millsap, Pero Antic",3,14,19,14,19,521,521,0,0,0,0
"41400103","BKN","Alan Anderson, Jarrett Jack, Joe Johnson, Mason Plumlee, Mirza Teletovic",3,31,16,33,25,720,945,2,9,-7,225
"41400103","ATL","Dennis Schroder, Kent Bazemore, Kyle Korver, Paul Millsap, Pero Antic",4,14,19,16,25,521,609,2,6,-4,88
"41400103","BKN","Alan Anderson, Brook Lopez, Jarrett Jack, Joe Johnson, Mirza Teletovic",4,33,25,33,25,945,945,0,0,0,0
"41400103","ATL","Al Horford, Dennis Schroder, Kent Bazemore, Kyle Korver, Pero Antic",5,16,25,16,31,609,720,0,6,-6,111
"41400103","BKN","Alan Anderson, Brook Lopez, Jarrett Jack, Joe Johnson, Thaddeus Young",5,33,25,33,25,945,966,0,0,0,21
"41400103","ATL","Al Horford, Dennis Schroder, Kent Bazemore, Kyle Korver, Mike Scott",6,16,31,21,33,720,875,5,2,3,155
"41400103","BKN","Brook Lopez, Deron Williams, Jarrett Jack, Joe Johnson, Thaddeus Young",6,33,25,39,28,966,1097,6,3,3,131
"41400103","ATL","Al Horford, DeMarre Carroll, Dennis Schroder, Kyle Korver, Mike Scott",7,21,33,25,33,875,966,4,0,4,91
"41400103","BKN","Bojan Bogdanovic, Brook Lopez, Deron Williams, Joe Johnson, Thaddeus Young",7,39,28,43,38,1097,1316,4,10,-6,219
"41400103","ATL","Al Horford, DeMarre Carroll, Dennis Schroder, Jeff Teague, Mike Scott",8,25,33,28,39,966,1097,3,6,-3,131
"41400103","BKN","Alan Anderson, Brook Lopez, Deron Williams, Joe Johnson, Thaddeus Young",8,43,38,43,38,1316,1328,0,0,0,12
"41400103","ATL","Al Horford, DeMarre Carroll, Dennis Schroder, Jeff Teague, Pero Antic",9,28,39,28,39,1097,1097,0,0,0,0
"41400103","BKN","Alan Anderson, Brook Lopez, Jarrett Jack, Joe Johnson, Thaddeus Young",9,43,38,47,40,1328,1414,4,2,2,86
"41400103","ATL","DeMarre Carroll, Dennis Schroder, Jeff Teague, Paul Millsap, Pero Antic",10,28,39,35,43,1097,1263,7,4,3,166
"41400103","BKN","Alan Anderson, Jarrett Jack, Joe Johnson, Mason Plumlee, Thaddeus Young",10,47,40,47,40,1414,1436,0,0,0,22
"41400103","ATL","DeMarre Carroll, Jeff Teague, Kyle Korver, Paul Millsap, Pero Antic",11,35,43,35,43,1263,1263,0,0,0,0
